run_id,finding_id,car_id,car_chassis,car_display_name,car_slug,subcategory_id,subcategory_code,subcategory_name,realoem_diagram_id,realoem_diagram_url,realoem_part_count,our_part_count,parts_backfilled,status,inserted_part_numbers,created_at
40,74777,219,G30,G30 530iX B46,g30-530ix-b46-58529,697604,34_2447,Hydro unit DSC / control unit / fastening,34_2973,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=34_2973,7,17,2,backfilled,07146884350|34509500026,2026-05-03T02:04:06.688Z
40,74778,219,G30,G30 530iX B46,g30-530ix-b46-58529,697600,34_2448,Brake master cylinder / expansion tank,34_2974,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=34_2974,7,7,0,clean,,2026-05-03T02:04:06.823Z
40,74779,219,G30,G30 530iX B46,g30-530ix-b46-58529,697605,34_2449,Power brake unit depression,34_2976,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=34_2976,8,9,1,backfilled,34336875605,2026-05-03T02:04:14.235Z
40,74780,219,G30,G30 530iX B46,g30-530ix-b46-58529,1224191,34_2966,FRONT BRAKE PAD WEAR SENSOR,34_2968,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=34_2968,36,23,32,backfilled,34116889570|34356890788|34116860911|34116860912|34106898192|34108858705|34116883731|34108858706|34118831822|34211161806|34118854273|34116891273|34116891274|34116883483|34116883484|34116871581|34111163435|34116876899|34106864424|34106861797|34106861798|34116868785|83192180000|83192158851|34116871579|34116897337|34116897338|34116872572|34116780509|34116780508|34216890353|34116872574|34216892641|34111162178|34356890791|34216860925|34208853554|34106884345|34216882245|52207076848|34216882246|34206898611|34206898612|34216881295|34216881296|34216870575|34216870576|34206898583|34206898584|34206891915|34206891916|34206870583|34206870584|34108838589|34116768188|34216888077|34216854116|34206850560|34216870567|34206870566|34216870569|34216870570|34206786064|34206899153|34206899154|34206881294,2026-05-03T02:04:14.935Z
40,74781,219,G30,G30 530iX B46,g30-530ix-b46-58529,697622,35_0499,"Pedal assembly, automatic transmission",35_0499,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=35_0499,7,7,0,clean,35216885852,2026-05-03T02:04:17.159Z
40,74782,219,G30,G30 530iX B46,g30-530ix-b46-58529,697622,35_0499,"Pedal assembly, automatic transmission",35_0525,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=35_0525,7,7,1,backfilled,35216885852,2026-05-03T02:04:21.639Z
40,74783,219,G30,G30 530iX B46,g30-530ix-b46-58529,697623,35_0491,Acceleration / accelerator pedal module,35_0491,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=35_0491,3,3,0,clean,35426871053|35406889824,2026-05-03T02:04:22.136Z
40,74784,219,G30,G30 530iX B46,g30-530ix-b46-58529,697623,35_0491,Acceleration / accelerator pedal module,35_0492,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=35_0492,4,3,2,backfilled,35426871053|35406889824,2026-05-03T02:04:26.934Z
40,74785,219,G30,G30 530iX B46,g30-530ix-b46-58529,697636,36_2213,BMW LA wheel V-spoke 618 - 17'',36_2213,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2213,11,11,0,clean,,2026-05-03T02:04:37.135Z
40,74786,219,G30,G30 530iX B46,g30-530ix-b46-58529,697626,36_2250,BMW LA wheel multi-spoke 619 - 18'',36_2250,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2250,11,11,0,clean,,2026-05-03T02:04:44.234Z
40,74787,219,G30,G30 530iX B46,g30-530ix-b46-58529,697628,36_2302,"Emergency wheel, light alloy",36_2302,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2302,5,7,0,clean,,2026-05-03T02:04:50.335Z
40,74788,219,G30,G30 530iX B46,g30-530ix-b46-58529,697638,36_2362,"BMW LA wheel V-spoke 684 - 18""",36_2362,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2362,12,12,0,clean,,2026-05-03T02:04:58.453Z
40,74789,219,G30,G30 530iX B46,g30-530ix-b46-58529,697174,03_4357,"BMW LM wheel cross-spoke 636 - 20""",36_2306,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2306,12,5,12,backfilled,36116874827|36116874828|36136890324|36136850834|36121116326|36141095389|36121120779|36106887147|36106887146|36106874842|36146872777|36146872776,2026-05-03T02:05:06.335Z
40,74790,219,G30,G30 530iX B46,g30-530ix-b46-58529,697175,03_4303,"BMW LA wheel W-spoke 632 - 18""",36_2363,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2363,11,2,11,backfilled,36116863418|36136890324|36136850834|36121116326|36141095389|36121120779|36106887147|36106887146|36106874842|36146872777|36146872776,2026-05-03T02:05:11.534Z
40,74791,219,G30,G30 530iX B46,g30-530ix-b46-58529,697629,36_2365,"BMW LA wheel W-spoke 663 - 19""",36_2365,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2365,12,12,0,clean,,2026-05-03T02:05:11.936Z
40,74792,219,G30,G30 530iX B46,g30-530ix-b46-58529,697164,03_5442,"BMW LA wheel double spoke 634 - 18""",36_2364,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2364,11,3,11,backfilled,36116863420|36136890324|36136850834|36121116326|36141095389|36121120779|36106887147|36106887146|36106874842|36146872777|36146872776|36116894842,2026-05-03T02:05:21.036Z
40,74793,219,G30,G30 530iX B46,g30-530ix-b46-58529,697643,36_2366,"BMW LA wheel multi spoke 633 - 19""",36_2366,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2366,12,12,0,clean,,2026-05-03T02:05:30.235Z
40,74794,219,G30,G30 530iX B46,g30-530ix-b46-58529,697644,36_2368,"BMW LA wheel double spoke 662M - 18""",36_2368,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2368,11,15,0,clean,36108093915|36108093916,2026-05-03T02:05:31.736Z
